ObjectId,Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2020,F2025,F2030,F2035,F2040,F2045,F2050
18,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14503247,14.31584006,14.50409463,14.71040913,14.86637002,15.01159338
19,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.19363598,14.39266491,14.51255823,14.49019424,14.40696983,14.32479356
20,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14446408,14.31603627,14.50109074,14.6667023,14.79008363,14.91300498
21,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.18707085,14.38632465,14.53371047,14.54112112,14.50141621,14.47527293
22,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75291,13.94569,14.10784,14.23981,14.30642,14.33996,14.3689
23,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75242,13.9409,14.09099,14.25703,14.40102,14.52123,14.66836
24,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75248,13.93748,14.09453,14.27506,14.37325,14.42164,14.44782
25,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75258,13.94009,14.09167,14.25816,14.37546,14.47164,14.56814
26,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75224,13.93667,14.08479,14.21441,14.25737,14.25611,14.21927
27,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75285,13.94376,14.09895,14.25776,14.37952,14.48835,14.60722
28,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75301,13.95142,14.10858,14.21622,14.24143,14.23901,14.18667
29,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.7433,13.95868,14.1254,14.25534,14.31613,14.32898,14.34297
30,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74298,13.95568,14.09648,14.26551,14.40183,14.4948,14.60162
31,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74299,13.95183,14.09685,14.29578,14.38479,14.40425,14.41771
32,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74316,13.95551,14.09655,14.28519,14.39673,14.45649,14.50674
33,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74332,13.95736,14.12541,14.20296,14.20341,14.16472,14.12627
